,thread_id,res_num,date,name,comment
0,0,1,02/10/07,名無しさん？,次っていつやるの？
1,0,2,02/10/07,名無しさん？,
2,0,3,02/10/07,名無しさん？,
3,0,4,02/10/07,（・ｖ・）,（・ｖ・）やらない（・ｘ・）うんう
4,0,5,02/10/07,君に胸キュン♪ ,食傷気味
5,0,6,02/10/07,名無しさん？,
6,0,7,02/10/07,名無しさん？,
7,0,8,02/10/07,名無しさん？,
8,0,9,02/10/07,名無しさん？,2時間後
9,0,10,02/10/07,名無しさん？,やらないにょ
10,0,11,02/10/07,名無しさん？,平成22年2月22日
11,0,12,02/10/07, ,このスレ貰った
12,0,13,02/10/07,名無しさん？,最近みんな2getAAはらなくなったの？なんか新作ないのかな？
13,0,14,02/10/07,名無しさん？,>>13ないにょ
14,0,15,02/10/07,名無しさん？,じゃｇｈｋｌが2getだぜ>>3あああ＞＞4あああ
15,0,16,02/10/07,名無しさん？,>>14ちぇっ
16,0,17,02/10/07,名無しさん？,
17,0,18,02/10/07,名無しさん？,>>15やる気の無い2getだなあ・・・
18,0,19,02/10/07,名無しさん？,前回参加した奴は参加してない人にも解るようにここに感想書いて漏れは最後に「もうこねぇーよｳﾜｧｧﾝ」をリアルで言ってしまった同時に大盛りねぎダク玉を注文したのは爽快いまでも思い出し笑いが出来る
19,0,20,02/10/07,名無しさん？,それはキツいな
20,0,21,02/10/07,名無しさん？,20get?
21,0,22,02/10/07,名無しさん？,ひろゆきの誕生日に実行説はどうなった？
22,0,23,02/10/07,名無しさん？,>>19現実世界でそれはキモイな・・・
23,0,24,02/10/07,名無しさん？,30ｇ・・・
24,0,25,02/10/07,名無しさん？,牛丼わっしょいをした奴がいたけどやった奴神だなあと、マジで子連れで来て「よーし、パパ・・・」をやった人も神
25,0,26,02/10/07,名無しさん？,>>25現実世界でそれはキモイな・・・
26,0,27,02/10/07,名無しさん？,ところで前回は４月に行われたけど参加した人いる？
27,0,28,02/10/07,名無しさん？,http://www2.mnx.jp/carvancle/yoshigyu/懐かすぃ。漏れも参加した
28,0,29,02/10/07,名無しさん？,吉野家スレhttp://salami.2ch.net/test/read.cgi/honobono/1033916238/l50
29,0,30,02/10/07,名無しさん？,http://www2.mnx.jp/carvancle/yoshigyu/negidaku2chday.htm#174靖国ってチャンネラーが１００人集まったんだ。前回参加をしてないヤシこのオフを知らないヤシ一度アドレスのサイトを見てみろ
